Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,In structures with--,,,Region,,,,,,,
Universe1,Month,Total,1 unit,2 to 4,5 units,Northeast,,Midwest,,South,,West,
,,,,units,or more,Total,1 unit,Total,1 unit,Total,1 unit,Total,1 unit
,2015,1102.3,705,11.5,385.8,137.6,54.4,152.3,107,546.7,378.3,265.6,165.2
,2016,1161.1,768.9,11.5,380.8,115,59,181.7,120.4,573.5,410.1,290.9,179.4
,2017,1191.8,837.7,11.4,342.7,110.8,61.4,178.7,129.3,589,443.2,313.2,203.8
,2018,1240.5,866.4,13.9,360.3,110.2,63.7,172.2,123,622,457.2,336.1,222.4
,2019,1280,877.7,13.4,388.9,114.3,56.6,168.8,119.2,675.9,487.9,321,213.9
,2020,1371.7,982.6,12.3,376.8,111.2,59.9,191.4,135.4,728.2,545.7,341,241.5
,2021,1586.4,1112.8,11.5,462.1,136.2,67.4,215.2,147.9,834.1,629.9,400.8,267.7
,2022,1542.7,995.3,16.4,531,141.7,62.7,205.5,129.5,824.8,572,370.6,231.2
,2023,1407.7,939.3,13.1,455.4,113.4,60.8,183.4,117.8,783.2,556.9,327.8,203.7
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NA Not available.,,,,,,,,,,,,,
"Through December 1970, 2 units includes 3 and 4 units.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,"1 For historical counts of permit-issuing places in each target universe, the dates each target universe was used for, and details on the January 2023",,,,,,,,,,,,
,"universe methodology change to an annually updated universe, please visit: https://www.census.gov/construction/bps/methodology.html",,,,,,,,,,,,
