observation_date,CSUSHPISA
2000-01-01,100.55100000000000
2000-02-01,101.33900000000000
2000-03-01,102.12600000000000
2000-04-01,102.92300000000000
2000-05-01,103.67800000000000
2000-06-01,104.42400000000001
2000-07-01,105.05400000000000
2000-08-01,105.76800000000000
2000-09-01,106.53800000000000
2000-10-01,107.38300000000000
2000-11-01,108.30300000000000
2000-12-01,109.14100000000001
2001-01-01,109.84699999999999
2001-02-01,110.50200000000000
2001-03-01,111.11000000000000
2001-04-01,111.65200000000000
2001-05-01,112.16400000000000
2001-06-01,112.79700000000000
2001-07-01,113.49100000000000
2001-08-01,114.16900000000000
2001-09-01,114.81200000000000
2001-10-01,115.30900000000000
2001-11-01,115.85599999999999
2001-12-01,116.45399999999999
2002-01-01,117.14300000000000
2002-02-01,117.84399999999999
2002-03-01,118.68700000000000
2002-04-01,119.61100000000000
2002-05-01,120.72300000000000
2002-06-01,121.81300000000000
2002-07-01,122.88900000000000
2002-08-01,123.83199999999999
2002-09-01,124.78100000000001
2002-10-01,125.73500000000000
2002-11-01,126.67000000000000
2002-12-01,127.62400000000000
2003-01-01,128.46100000000001
2003-02-01,129.35599999999999
2003-03-01,130.14800000000000
2003-04-01,130.88499999999999
2003-05-01,131.73500000000001
2003-06-01,132.64900000000000
2003-07-01,133.77700000000002
2003-08-01,134.96799999999999
2003-09-01,136.29499999999999
2003-10-01,137.53299999999999
2003-11-01,138.79499999999999
2003-12-01,140.18100000000001
2004-01-01,141.64700000000002
2004-02-01,143.19200000000001
2004-03-01,145.05799999999999
2004-04-01,146.59299999999999
2004-05-01,148.18600000000001
2004-06-01,149.85200000000000
2004-07-01,151.33900000000000
2004-08-01,152.63499999999999
2004-09-01,154.18000000000001
2004-10-01,155.75200000000001
2004-11-01,157.52900000000000
2004-12-01,159.33199999999999
2005-01-01,161.28899999999999
2005-02-01,163.34600000000000
2005-03-01,165.81400000000002
2005-04-01,167.50299999999999
2005-05-01,169.35200000000000
2005-06-01,171.19200000000001
2005-07-01,172.86099999999999
2005-08-01,174.44400000000002
2005-09-01,176.43799999999999
2005-10-01,178.02799999999999
2005-11-01,179.68200000000002
2005-12-01,180.91099999999997
2006-01-01,182.32100000000000
2006-02-01,183.28800000000001
2006-03-01,184.36400000000000
2006-04-01,184.32900000000001
2006-05-01,184.15500000000000
2006-06-01,183.50700000000001
2006-07-01,183.06599999999997
2006-08-01,182.59399999999999
2006-09-01,182.79800000000000
2006-10-01,183.19800000000001
2006-11-01,183.60800000000000
2006-12-01,184.13900000000001
2007-01-01,184.51700000000000
2007-02-01,184.59899999999999
2007-03-01,184.15100000000001
2007-04-01,183.01100000000000
2007-05-01,181.60100000000000
2007-06-01,180.25299999999999
2007-07-01,179.11000000000001
2007-08-01,178.11600000000001
2007-09-01,177.55700000000002
2007-10-01,176.62299999999999
2007-11-01,175.14599999999999
2007-12-01,174.34000000000000
2008-01-01,173.13099999999997
2008-02-01,171.53900000000002
2008-03-01,170.05200000000002
2008-04-01,168.33599999999998
2008-05-01,166.65799999999999
2008-06-01,165.01700000000000
2008-07-01,163.56500000000000
2008-08-01,161.98800000000000
2008-09-01,160.30700000000002
2008-10-01,158.32700000000000
2008-11-01,156.14200000000000
2008-12-01,153.61799999999999
2009-01-01,151.50700000000001
2009-02-01,150.01400000000001
2009-03-01,148.66000000000000
2009-04-01,147.94799999999998
2009-05-01,147.69399999999999
2009-06-01,148.08900000000000
2009-07-01,148.40899999999999
2009-08-01,148.27700000000002
2009-09-01,148.02500000000001
2009-10-01,147.84999999999999
2009-11-01,148.13600000000000
2009-12-01,147.93000000000001
2010-01-01,147.39600000000002
2010-02-01,145.63200000000001
2010-03-01,145.85800000000000
2010-04-01,146.40100000000001
2010-05-01,146.39099999999999
2010-06-01,145.71799999999999
2010-07-01,144.98599999999999
2010-08-01,143.91000000000000
2010-09-01,143.01400000000001
2010-10-01,142.52500000000001
2010-11-01,142.16700000000000
2010-12-01,142.05400000000000
2011-01-01,141.51599999999999
